latitud,longitud,timestamp,day,month,year,hour,minute,voltage_V_A,current_A_A,power_W_A,pf_A,freq_Hz_A,energy_Wh_A,voltage_V_B,current_A_B,power_W_B,pf_B,freq_Hz_B,energy_Wh_B,id_punto
25.651742,-100.280182,2026-04-30 14:09:00,30,4,2026,14,9,128.9,3.12,72,0.17,59.15,883,0,0.63,44,0.54,59.15,91,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 14:45:00,30,4,2026,14,45,130.0,22.93,2103,0.7,59.13,886,0,0.6,44,0.56,59.13,91,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 15:41:00,30,4,2026,15,41,129.0,3.19,69,0.16,59.09,896,0,0.61,45,0.57,59.09,92,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 16:36:00,30,4,2026,16,36,127.1,14.13,1066,0.59,59.09,902,0,0.62,45,0.57,59.09,92,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 17:33:00,30,4,2026,17,33,128.7,115.24,8681,0.58,59.09,913,0,4.17,388,0.72,59.09,94,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 19:24:00,30,4,2026,19,24,128.8,23.66,1536,0.5,59.1,954,0,1.05,120,0.88,59.1,102,25.651742_-100.280182
25.651742,-100.280182,2026-04-30 23:04:00,30,4,2026,23,4,129.8,38.32,3476,0.69,59.12,1015,0,1.01,118,0.89,59.12,106,25.651742_-100.280182
25.651742,-100.280182,2026-05-01 01:33:00,1,5,2026,1,33,132.5,30.36,1543,0.38,59.13,1073,0,0.55,40,0.55,59.13,108,25.651742_-100.280182
25.651742,-100.280182,2026-05-01 03:19:00,1,5,2026,3,19,132.0,25.72,1326,0.39,59.13,1107,0,0.51,37,0.55,59.13,109,25.651742_-100.280182
25.651742,-100.280182,2026-05-01 04:48:00,1,5,2026,4,48,133.6,20.32,1061,0.39,59.12,1143,0,0.56,44,0.58,59.12,109,25.651742_-100.280182
25.651742,-100.280182,2026-05-01 05:46:00,1,5,2026,5,46,134.3,30.15,2275,0.56,59.1,1159,0,0.53,40,0.55,59.1,110,25.651742_-100.280182
25.651742,-100.280182,2026-05-01 06:44:00,1,5,2026,6,44,134.8,26.33,1992,0.56,59.1,1181,0,0.51,38,0.54,59.1,110,25.651742_-100.280182
